ITMNUM;PRICE_NET;PRICE_BRU;CURRENCY;PRILIST;CUSGRP
BDMYDAY100CM000104DE;578.00000; ;1;SPL18-0007;100006432
TERTIA00;1939.56900;2249.0;1;SPL13-0003;DE_B2C
CASAINFINITY750000104UK;258.53448;299.9;1;SPL13-0003;DE_B2C
CASAINFINITY750000103UK;258.53448;299.9;1;SPL13-0003;DE_B2C
CASAINFINITY750000204UK;258.53448;299.9;1;SPL13-0003;DE_B2C
UNITY16007DE;1379.22416;1599.0;1;SPL13-0003;DE_B2C
PERSEPOLIS000104UK;534.39658;619.9;1;SPL13-0003;DE_B2C
CASAINFINITY75007UK;258.53448;299.9;1;SPL13-0003;DE_B2C
ANDALUSIARECHTS00FR;1724.05169;1999.0;1;SPL13-0003;DE_B2C
DIVINA00FR;1336.12072;1549.0;1;SPL13-0003;DE_B2C
4250524127776;1551.63792;1799.0;1;SPL13-0003;DE_B2C
BRAVO1650RECHTSOS00;1120.60341;1299.0;1;SPL13-0003;DE_B2C
DOMINO600000101UK;206.81031;239.9;1;SPL13-0003;DE_B2C
VENUS07UK;129.22415;149.9;1;SPL13-0003;DE_B2C
BDMYDAY130CM000101DE;734.00000; ;1;SPL18-0007;100006432
4250524120630;1949.05176;2260.9;1;SPL13-0002;DE_B2C
MEGASPARSETVERSUS07;620.60347;719.9;1;SPL13-0002;DE_B2C
4250363412668;163.70686;189.9;1;SPL13-0002;DE_B2C
PEGASUS07DE;284.39656;329.9;1;SPL13-0002;DE_B2C
4250363414365;430.94824;499.9;1;SPL13-0002;DE_B2C
4250363418066;18.87935;21.9;1;SPL13-0002;DE_B2C
4250363415492;543.01721;629.9;1;SPL13-0002;DE_B2C
4250363415416;543.01721;629.9;1;SPL13-0002;DE_B2C
4250363411432;137.84478;159.9;1;SPL13-0002;DE_B2C
4250363411258;137.84478;159.9;1;SPL13-0002;DE_B2C
4250363417038;32.74141;37.98;1;SPL13-0002;DE_B2C
JUNIPER80007DE;370.60344;429.9;1;SPL13-0002;DE_B2C
BABYLONDELUXE07FR;603.36211;699.0;1;SPL13-0003;DE_B2C
4250363428423;603.36211;699,9;1;SPL13-0002;DE_B2C
4250363442030;1034.39652;1199.0;1;SPL13-0002;DE_B2C
4250363442856;1249.91383;1449.0;1;SPL13-0002;DE_B2C
4250363443204;775.77588;899.9;1;SPL13-0002;DE_B2C
4250363444201;689.56899;799.9;1;SPL13-0002;DE_B2C
4250363444232;327.50000;379.0;1;SPL13-0002;DE_B2C
4250363444249;327.50000;379.0;1;SPL13-0002;DE_B2C
4250363444256;327.50000;379.0;1;SPL13-0002;DE_B2C
4250363444263;370.60344;429.9;1;SPL13-0002;DE_B2C
4250363416994;17.15518;19.9;1;SPL13-0002;DE_B2C
4250363442337;1206.81039;1399.0;1;SPL13-0002;DE_B2C
4250363417915;12.84482;14.9;1;SPL13-0002;DE_B2C
4250363444225;327.50000;379.9;1;SPL13-0002;DE_B2C
4250363417892;25.77581;29.0;1;SPL13-0002;DE_B2C
INFINITY85007;336.12073;389.9;1;SPL13-0002;DE_B2C
CASAINFINITY75007;318.87927;369.9;1;SPL13-0002;DE_B2C
INFINITY100007;361.98271;419.9;1;SPL13-0002;DE_B2C
4250524105880;2327.49997;2699.0;1;SPL13-0002;DE_B2C
4250363435940;258.53448;299.9;1;SPL13-0002;DE_B2C
4250524104111;1810.25857;2099.0;1;SPL13-0002;DE_B2C
SPS75X60CM07DE;206.81031;239.0;1;SPL13-0002;DE_B2C
HS115CM07DE;137.84478;159.9;1;SPL13-0002;DE_B2C
4250363417793;43.01727;49.9;1;SPL13-0002;DE_B2C
CROWN07DE;543.01721;629.9;1;SPL13-0002;DE_B2C
4250363417786;146.46551;169.9;1;SPL13-0002;DE_B2C
4250363417762;103.36207;119.9;1;SPL13-0002;DE_B2C
4250524138970;111.98280;129.9;1;SPL13-0002;DE_B2C
VIENNA100007DE;387.84480;449.9;1;SPL13-0002;DE_B2C
4250363427624;413.70689;479.9;1;SPL13-0002;DE_B2C
PERSEPOLIS07DE;689.56899;799.9;1;SPL13-0002;DE_B2C
4250524104104;1810.25857;2099.0;1;SPL13-0002;DE_B2C
4250524105330;111.98280;129.9;1;SPL13-0002;DE_B2C
4250524105347;111.98280;129.9;1;SPL13-0002;DE_B2C
4250524105354;111.98269;129.9;1;SPL13-0002;DE_B2C
4250524105323;129.22415;149.9;1;SPL13-0002;DE_B2C
4250524105781;13.70685;15.0;1;SPL13-0002;DE_B2C
4250524105804;13.70685;15.0;1;SPL13-0002;DE_B2C
4250524105811;13.70685;15.0;1;SPL13-0002;DE_B2C
4250524105866;2327.49997;2699.0;1;SPL13-0002;DE_B2C
4250524105927;2327.49997;2699.0;1;SPL13-0002;DE_B2C
PRIMUS07DE;215.43103;249.9;1;SPL13-0002;DE_B2C
4250524106375;1896.46556;2199.0;1;SPL13-0002;DE_B2C
4250524111812;129.22415;149.9;1;SPL13-0002;DE_B2C
4250524111829;172.32759;199.9;1;SPL13-0002;DE_B2C
4250524112123;396.46553;459.9;1;SPL13-0002;DE_B2C
4250363434653;81.81035;94.9;1;SPL13-0002;DE_B2C
4250363434257;110.25863;127.9;1;SPL13-0002;DE_B2C
4250524113878;111.98280;129.9;1;SPL13-0002;DE_B2C
4250524113861;51.63790;59.9;1;SPL13-0002;DE_B2C
4250524113885;103.36207;119.9;1;SPL13-0002;DE_B2C
4250524113892;258.53448;299.9;1;SPL13-0002;DE_B2C
4250524113915;146.46551;169.9;1;SPL13-0002;DE_B2C
4250524113922;189.56895;219.9;1;SPL13-0002;DE_B2C
4250524113939;189.56895;219.9;1;SPL13-0002;DE_B2C
4250524113960;189.56895;219.9;1;SPL13-0002;DE_B2C
4250524114028;189.56895;219.9;1;SPL13-0002;DE_B2C
4250524114530;111.98269;129.9;1;SPL13-0002;DE_B2C
4250524114578;430.94824;499.9;1;SPL13-0002;DE_B2C
4250524115155;1853.36211;2149.0;1;SPL13-0002;DE_B2C
4250524115070;86.12071;99.0;1;SPL13-0002;DE_B2C
4250524115087;1853.36211;2149.0;1;SPL13-0002;DE_B2C
ARIS07DE;206.81031;239.9;1;SPL13-0002;DE_B2C
4250524115131;111.98280;129.9;1;SPL13-0002;DE_B2C
4250363433854;86.12071;99.9;1;SPL13-0002;DE_B2C
4250363432987;146.46551;169.9;1;SPL13-0002;DE_B2C
VERSUS-MC-000103DE;413.70689;479.9;1;SPL13-0002;DE_B2C
4250363414891;137.84478;159.9;1;SPL13-0002;DE_B2C
INFINITY850000104;336.12073;389.9;1;SPL13-0002;DE_B2C
4250524127370;1879.22410;2179.0;1;SPL13-0002;DE_B2C
INFINITY850000202;336.12073;389.9;1;SPL13-0002;DE_B2C
4250524120692;1879.22410;2179.0;1;SPL13-0002;DE_B2C
4250524120715;1879.22410;2179.0;1;SPL13-0002;DE_B2C
4250524120760;1939.56900;2249.0;1;SPL13-0002;DE_B2C
4250524120777;1939.56900;2249.0;1;SPL13-0002;DE_B2C
4250524127486;1793.01721;2079.0;1;SPL13-0002;DE_B2C
AURUM-XL000112DE;127.49999;147.9;1;SPL13-0002;DE_B2C
AURUM-S000112DE;81.81035;94.9;1;SPL13-0002;DE_B2C
AURUM-XL000204DE;127.49999;147.9;1;SPL13-0002;DE_B2C
AURUM-M000112DE;86.12071;99.9;1;SPL13-0002;DE_B2C
AURUM-L000112DE;110.25863;127.9;1;SPL13-0002;DE_B2C
AURUM-S000204DE;68.87935;79.9;1;SPL13-0002;DE_B2C
AURUM-M000204DE;86.12071;99.9;1;SPL13-0002;DE_B2C
AURUM-L000204DE;99.05170;114.9;1;SPL13-0002;DE_B2C
EMOTIONSET0013000514DE;465.25861;539.7;1;SPL13-0002;DE_B2C
EMOTIONSET0013000514DE;405.08616;512.72;1;SPL13-0003;DE_B2C
EMOTIONSET0013000520DE;465.25861;539.7;1;SPL13-0002;DE_B2C
EMOTIONSET0013000520DE;405.08616;512.72;1;SPL13-0003;DE_B2C
EMOTIONSET0014000514DE;629.05175;729.7;1;SPL13-0002;DE_B2C
EMOTIONSET0015000401DE;715.17246;829.6;1;SPL13-0002;DE_B2C
EMOTIONSET0015000401DE;689.56899;788.12;1;SPL13-0003;DE_B2C
EMOTIONSET0015000514DE;715.17246;829.6;1;SPL13-0002;DE_B2C
EMOTIONSET0016000514DE;887.50005;829.6;1;SPL13-0002;DE_B2C
EMOTIONSET0016000514DE;818.87932;788.12;1;SPL13-0003;DE_B2C
EMOTIONSET0016000520DE;887.50005;829.6;1;SPL13-0002;DE_B2C
EMOTIONSET0017000401DE;732.67243;902.03;1;SPL13-0003;DE_B2C
EMOTIONSET0018000520DE;956.46548;1109.5;1;SPL13-0002;DE_B2C
EMOTIONSET0014000401DE;560.25867;693.22;1;SPL13-0003;DE_B2C
EMOTIONSET0014000520DE;629.05175;729.7;1;SPL13-0002;DE_B2C
EMOTIONSET0014000520DE;560.25867;693.22;1;SPL13-0003;DE_B2C
EMOTIONSET0016000401DE;887.50005;829.6;1;SPL13-0002;DE_B2C
EMOTIONSET0016000401DE;818.87932;788.12;1;SPL13-0003;DE_B2C
EMOTIONSET0018000514DE;818.87932;1054.03;1;SPL13-0003;DE_B2C
EMOTIONSET0019000401DE;680.68964;789.6;1;SPL13-0002;DE_B2C
EMOTIONSET0019000401DE;603.36211;750.12;1;SPL13-0003;DE_B2C
EMOTIONSET0019000514DE;680.68964;789.6;1;SPL13-0002;DE_B2C
EMOTIONSET0019000514DE;603.36211;750.12;1;SPL13-0003;DE_B2C
EMOTIONSET0020000520DE;999.74136;1159.7;1;SPL13-0002;DE_B2C
EMOTIONSET0021000514DE;1249.56894;1449.5;1;SPL13-0002;DE_B2C
EMOTIONSET0022000401DE;818.87932;1044.53;1;SPL13-0003;DE_B2C
EMOTIONSET0017000520DE;732.67243;902.03;1;SPL13-0003;DE_B2C
EMOTIONSET0018000401DE;956.46548;1109.5;1;SPL13-0002;DE_B2C
EMOTIONSET0018000520DE;818.87932;1054.03;1;SPL13-0003;DE_B2C
EMOTIONSET0021000401DE;1120.60341;1377.03;1;SPL13-0003;DE_B2C
EMOTIONSET0022000514DE;818.87932;1044.53;1;SPL13-0003;DE_B2C
EMOTIONSET0024000401DE;896.12068;1039.5;1;SPL13-0002;DE_B2C
EMOTIONSET0024000514DE;896.12068;1039.5;1;SPL13-0002;DE_B2C
EMOTIONSET0024000514DE;775.77588;987.53;1;SPL13-0003;DE_B2C
EMOTIONSET0024000520DE;896.12068;1039.5;1;SPL13-0002;DE_B2C
EMOTIONSET0024000520DE;775.77588;987.53;1;SPL13-0003;DE_B2C
EMOTIONSET0025000520DE;990.94830;949.6;1;SPL13-0002;DE_B2C
EMOTIONSET0025000520DE;887.84480;902.12;1;SPL13-0003;DE_B2C
EMOTIONSET0026000401DE;586.12065;731.22;1;SPL13-0003;DE_B2C
EMOTIONSET0018000401DE;818.87932;1054.03;1;SPL13-0003;DE_B2C
EMOTIONSET0018000514DE;956.46548;1109.5;1;SPL13-0002;DE_B2C
EMOTIONSET0021000401DE;1249.56894;1449.5;1;SPL13-0002;DE_B2C
EMOTIONSET0021000520DE;1249.56894;1449.5;1;SPL13-0002;DE_B2C
EMOTIONSET0022000514DE;947.84485;1099.5;1;SPL13-0002;DE_B2C
EMOTIONSET0023000520DE;1008.53444;1225.03;1;SPL13-0003;DE_B2C
EMOTIONSET0025000514DE;990.94830;949.6;1;SPL13-0002;DE_B2C
EMOTIONSET0026000401DE;663.53446;769.7;1;SPL13-0002;DE_B2C
EMOTIONSET0026000514DE;663.53446;769.7;1;SPL13-0002;DE_B2C
EMOTIONSET0026000514DE;586.12065;731.22;1;SPL13-0003;DE_B2C
EMOTIONSET0026000520DE;663.53446;769.7;1;SPL13-0002;DE_B2C
EMOTIONSET0027000401DE;405.08616;503.31;1;SPL13-0003;DE_B2C
EMOTIONSET0027000514DE;405.08616;503.31;1;SPL13-0003;DE_B2C
EMOTIONSET0019000520DE;680.68964;789.6;1;SPL13-0002;DE_B2C
EMOTIONSET0019000520DE;603.36211;750.12;1;SPL13-0003;DE_B2C
EMOTIONSET0020000401DE;999.74136;1159.7;1;SPL13-0002;DE_B2C
EMOTIONSET0020000401DE;861.98276;1101.72;1;SPL13-0003;DE_B2C
EMOTIONSET0020000514DE;999.74136;1159.7;1;SPL13-0002;DE_B2C
EMOTIONSET0020000514DE;861.98276;1101.72;1;SPL13-0003;DE_B2C
EMOTIONSET0020000520DE;861.98276;1101.72;1;SPL13-0003;DE_B2C
EMOTIONSET0021000514DE;1120.60341;1377.03;1;SPL13-0003;DE_B2C
EMOTIONSET0021000520DE;1120.60341;1377.03;1;SPL13-0003;DE_B2C
EMOTIONSET0022000401DE;947.84485;1099.5;1;SPL13-0002;DE_B2C
EMOTIONSET0022000520DE;947.84485;1099.5;1;SPL13-0002;DE_B2C
EMOTIONSET0023000401DE;1111.63788;1289.5;1;SPL13-0002;DE_B2C
EMOTIONSET0023000401DE;1008.53444;1225.03;1;SPL13-0003;DE_B2C
EMOTIONSET0022000520DE;818.87932;1044.53;1;SPL13-0003;DE_B2C
EMOTIONSET0023000520DE;1111.63788;1289.5;1;SPL13-0002;DE_B2C
EMOTIONSET0025000401DE;887.84480;902.12;1;SPL13-0003;DE_B2C
EMOTIONSET0027000514DE;456.72415;529.8;1;SPL13-0002;DE_B2C
EMOTIONSET0028000401DE;836.12067;1073.03;1;SPL13-0003;DE_B2C
EMOTIONSET0028000520DE;973.70693;1129.5;1;SPL13-0002;DE_B2C
