ITMNUM;COMPNUM;DIST_QTY
BELLA100000101DE;B901BASIC1/2;1.0000000000000
BELLA100000101DE;B901010101DE;1.0000000000000
BELLA100000101DE;PK2587076;1.0000000000000
BELLA100000101DE;0020;1.0000000000000
BELLA100000104DE;0020;1.0000000000000
BELLA100000104DE;B901BASIC1/2;1.0000000000000
BELLA100000104DE;B901010104DE;1.0000000000000
BELLA100000104DE;PK2587076;1.0000000000000
BELLA100000216DE;0020;1.0000000000000
BELLA100000216DE;B901010216DE;1.0000000000000
BELLA100000216DE;PK2587076;1.0000000000000
BELLA100000216DE;B901BASIC1/2;1.0000000000000
BELLA80000101DE;B900010101DE;1.0000000000000
BELLA80000101DE;PK2586976;1.0000000000000
BELLA80000101DE;0020;1.0000000000000
BELLA80000101DE;B900BASIC1/2;1.0000000000000
BELLA80000104DE;B900BASIC1/2;1.0000000000000
BELLA80000104DE;B900010104DE;1.0000000000000
BELLA80000104DE;PK2586976;1.0000000000000
BELLA80000104DE;0020;1.0000000000000
BELLA80000216DE;0020;1.0000000000000
BELLA80000216DE;B900010216DE;1.0000000000000
BELLA80000216DE;PK2586976;1.0000000000000
BELLA80000216DE;B900BASIC1/2;1.0000000000000
BELLALED100000101DE;PK2587076;1.0000000000000
BELLALED100000101DE;B901BASIC1/2;1.0000000000000
BELLALED100000101DE;B901010101DE;1.0000000000000
BELLALED100000101DE;BMCN119;1.0000000000000
BELLALED100000101DE;0020;1.0000000000000
BELLALED100000104DE;0020;1.0000000000000
BELLALED100000104DE;B901BASIC1/2;1.0000000000000
BELLALED100000104DE;B901010104DE;1.0000000000000
BELLALED100000104DE;PK2587076;1.0000000000000
BELLALED100000104DE;BMCN119;1.0000000000000
BELLALED100000216DE;BMCN119;1.0000000000000
BELLALED100000216DE;B901BASIC1/2;1.0000000000000
BELLALED100000216DE;B901010216DE;1.0000000000000
BELLALED100000216DE;PK2587076;1.0000000000000
BELLALED100000216DE;0020;1.0000000000000
BELLALED80000101DE;0020;1.0000000000000
BELLALED80000101DE;B900010101DE;1.0000000000000
BELLALED80000101DE;PK2586976;1.0000000000000
BELLALED80000101DE;BMCN117;1.0000000000000
BELLALED80000101DE;B900BASIC1/2;1.0000000000000
BELLALED80000104DE;B900BASIC1/2;1.0000000000000
BELLALED80000104DE;BMCN117;1.0000000000000
BELLALED80000104DE;B900010104DE;1.0000000000000
